trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'e': 0.5947279793502598, 'a': 0.5947279793502598}",25,0,-9.277794252057872,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
163,False,"{'e': 0.5896652591437623, 'a': 0.5896652591437623}",20,0,-19.811360040419867,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
164,False,"{'e': 0.5845519117351999, 'a': 0.5845519117351999}",30,0,-37.284712107570094,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
165,False,"{'e': 0.579387430852552, 'a': 0.579387430852552}",20,0,-39.87274610443776,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
166,False,"{'e': 0.5741713051610775, 'a': 0.5741713051610775}",30,15,-31.705264217689184,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
167,False,"{'e': 0.5689030182126883, 'a': 0.5689030182126883}",30,9,-2.3132713236641624,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
168,False,"{'e': 0.5635820483948152, 'a': 0.5635820483948152}",25,0,-67.45962845270428,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
169,False,"{'e': 0.5582078688787633, 'a': 0.5582078688787633}",25,15,3.1592766583472183,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'e': 0.5527799475675509, 'a': 0.5527799475675509}",30,11,3.489423154154565,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
171,False,"{'e': 0.5472977470432264, 'a': 0.5472977470432264}",20,0,-56.52448305055787,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
